Unique ID	Parent ID	taxonomy type	Name	Tier 1	Tier 2	Tier 3	condensed_name_full
1000	1000.0	adproduct	Ad Safety Risk	Ad Safety Risk			Ad Safety Risk | Ad Safety Risk |
1001		adproduct	Adult Products and Services	Adult Products and Services			Adult Products and Services | Adult Products and Services |
1002		adproduct	Alcohol	Alcohol			Alcohol | Alcohol |
1003	1002.0	adproduct	Bars	Alcohol	Bars		Bars | Alcohol | Bars
1004	1002.0	adproduct	Beer	Alcohol	Beer		Beer | Alcohol | Beer
1005	1002.0	adproduct	Hard Sodas, Seltzers, Alco Pops	Alcohol	Hard Sodas, Seltzers, Alco Pops		Hard Sodas, Seltzers, Alco Pops | Alcohol | Hard Sodas, Seltzers, Alco Pops
1006	1002.0	adproduct	Spirits	Alcohol	Spirits		Spirits | Alcohol | Spirits
1007	1002.0	adproduct	Wine	Alcohol	Wine		Wine | Alcohol | Wine
1008		adproduct	Culture and Fine Arts	Culture and Fine Arts			Culture and Fine Arts | Culture and Fine Arts |
1009	1008.0	adproduct	Museums and Galleries	Culture and Fine Arts	Museums and Galleries		Museums and Galleries | Culture and Fine Arts | Museums and Galleries
1010		adproduct	Business and Industrial	Business and Industrial			Business and Industrial | Business and Industrial |
1011	1010.0	adproduct	Advertising and Marketing	Business and Industrial	Advertising and Marketing		Advertising and Marketing | Business and Industrial | Advertising and Marketing
1012	1010.0	adproduct	Business Services	Business and Industrial	Business Services		Business Services | Business and Industrial | Business Services
1013	1012.0	adproduct	Consulting	Business and Industrial	Business Services	Consulting	Consulting | Business and Industrial | Business Services | Consulting
1014	1012.0	adproduct	Employee Expense and Time Tracking Services	Business and Industrial	Business Services	Employee Expense and Time Tracking Services	Employee Expense and Time Tracking Services | Business and Industrial | Business Services | Employee Expense and Time Tracking Services
1015	1012.0	adproduct	Event Planning	Business and Industrial	Business Services	Event Planning	Event Planning | Business and Industrial | Business Services | Event Planning
1016	1012.0	adproduct	Human Resources and Recruiting	Business and Industrial	Business Services	Human Resources and Recruiting	Human Resources and Recruiting | Business and Industrial | Business Services | Human Resources and Recruiting
1017	1012.0	adproduct	Information Technology Services	Business and Industrial	Business Services	Information Technology Services	Information Technology Services | Business and Industrial | Business Services | Information Technology Services
1018	1012.0	adproduct	Laundry and Dry Cleaning Services	Business and Industrial	Business Services	Laundry and Dry Cleaning Services	Laundry and Dry Cleaning Services | Business and Industrial | Business Services | Laundry and Dry Cleaning Services
1019	1012.0	adproduct	Logistics and Delivery	Business and Industrial	Business Services	Logistics and Delivery	Logistics and Delivery | Business and Industrial | Business Services | Logistics and Delivery
1020	1012.0	adproduct	Office Equipment and Supplies	Business and Industrial	Business Services	Office Equipment and Supplies	Office Equipment and Supplies | Business and Industrial | Business Services | Office Equipment and Supplies
1021	1012.0	adproduct	Photographers	Business and Industrial	Business Services	Photographers	Photographers | Business and Industrial | Business Services | Photographers
1022	1012.0	adproduct	Printing/Fax/WiFi Services	Business and Industrial	Business Services	Printing/Fax/WiFi Services	Printing/Fax/WiFi Services | Business and Industrial | Business Services | Printing/Fax/WiFi Services
1023	1012.0	adproduct	Public Relations and Strategic Communication	Business and Industrial	Business Services	Public Relations and Strategic Communication	Public Relations and Strategic Communication | Business and Industrial | Business Services | Public Relations and Strategic Communication
1024	1012.0	adproduct	Security and Protection	Business and Industrial	Business Services	Security and Protection	Security and Protection | Business and Industrial | Business Services | Security and Protection
1025	1012.0	adproduct	Storage Facilities	Business and Industrial	Business Services	Storage Facilities	Storage Facilities | Business and Industrial | Business Services | Storage Facilities
1026	1012.0	adproduct	Telecom Services	Business and Industrial	Business Services	Telecom Services	Telecom Services | Business and Industrial | Business Services | Telecom Services
